N;Titulo;Descricao;Tipo atual;Dificuldade;MANTER? (s/n);NOVO TIPO (fixo/sorteio/18+)
18;Invente uma frase que você acha que a Larissa diria com 80 anos e grave;Projeção de futuro em forma de bordão.;sorteio;medio;;
19;Faça uma mímica de como a Larissa reagiria ao ganhar um presente e peça pra alguém adivinhar;Sem falar. Só reação.;sorteio;medio;;
20;Faça um caraokê surpresa: cante 30 segundos ao vivo e grave;Ao vivo, sem playback, sem desculpa.;sorteio;dificil;;
21;Ensine um passo de dança para pelo menos 3 pessoas e grave;Coreografia coletiva improvisada.;sorteio;dificil;;
22;Grave uma mensagem para a Larissa abrir daqui a 10 anos;Cápsula do tempo em vídeo.;sorteio;dificil;;
23;Faça uma declaração de amor platônica para a aniversariante em público;Voz alta. Plateia obrigatória.;sorteio;dificil;;
24;Convença 4 pessoas a tirarem uma foto em formação de pirâmide;Segurança em primeiro lugar, foto em segundo.;sorteio;dificil;;
25;Recrie do seu jeito como você imagina que foi o dia em que a Larissa nasceu — pode ser dramático!;Encenação livre. Elenco à vontade.;sorteio;dificil;;
26;Apresente a Larissa como se ela fosse uma celebridade entrando num tapete vermelho;Locução completa, com nome artístico.;sorteio;dificil;;
27;Faça uma dança sensual com a pessoa mais próxima de você agora;Consentimento primeiro, gingado depois.;18+;18+;;
28;Dê um beijo na bochecha de alguém inesperado e grave a reação;A reação é a parte boa.;18+;18+;;
29;Imite um gênio da lâmpada e conceda 3 desejos para alguém — os mais picantes possível;Seus desejos são ordens.;18+;18+;;
30;Cante uma música romântica olhando nos olhos de alguém por 30 segundos;Sem desviar o olhar.;18+;18+;;
31;Invente um codinome sedutor para a aniversariante e apresente ao grupo;Anúncio oficial, em voz alta.;18+;18+;;
32;Faça uma pose de capa de revista adulta com quem estiver do seu lado;Editorial de luxo, produção zero.;18+;18+;;
33;Peça um drink surpresa pro bartender e grave sua cara no primeiro gole;Sem escolher. O que vier, vem.;sorteio;facil;;
34;Faça um brinde com 3 pessoas que você acabou de conhecer;Copo levantado, nomes novos.;sorteio;facil;;
35;Alinhe os copos mais coloridos que achar e faça uma foto estilo cardápio;Fotografia gastronômica improvisada.;sorteio;facil;;
36;Fotografe o bartender em ação;Ele também faz parte da noite.;sorteio;facil;;
37;Invente um drink com o nome da Larissa e apresente ele ao bartender;Ingredientes a seu critério. Nome tem que ser bom.;sorteio;medio;;
38;Grave um comercial de 15 segundos vendendo o drink que está na sua mão;Slogan obrigatório.;sorteio;medio;;
39;Convença quem está no bar a mandar um recado em vídeo para a Larissa;Vale mais de uma pessoa no mesmo vídeo.;sorteio;medio;;
40;Grave 15 segundos da banda tocando com a galera cantando junto;Som ambiente incluso.;sorteio;facil;;
41;Grave o refrão que a festa inteira cantou mais alto;Você vai saber qual é quando acontecer.;sorteio;facil;;
42;Grave alguém tocando (ou fingindo tocar) um instrumento de pagode;Pandeiro imaginário conta.;sorteio;facil;;
43;Peça uma música para a banda e grave o momento do pedido;A reação deles é parte do registro.;sorteio;medio;;
44;Tire uma foto com um integrante da banda;Aproveita o intervalo.;sorteio;medio;;
45;Grave a Larissa cantando junto com a banda;Sem avisar, de preferência.;sorteio;medio;;
46;Faça uma foto capa de DVD ao vivo com o palco no fundo;Pose de encarte. Compromisso total.;sorteio;medio;;
47;Puxe um coro na roda de pagode e grave a galera respondendo;Você começa, a festa responde.;sorteio;dificil;;
48;Fotografe o reflexo da festa na água;A festa vista de outro ângulo.;sorteio;facil;;
49;Enfileire o máximo de pés que conseguir na borda e fotografe;Quantos couberem no enquadramento.;sorteio;facil;;
50;Faça uma pose de sereia dramática na beirada da piscina;Cabelo ao vento é opcional.;sorteio;facil;;
51;Grave alguém pulando na piscina em câmera lenta;Use o slow motion do celular.;sorteio;medio;;
52;Grave o primeiro que caiu (ou foi empurrado) na água;Momento histórico da noite.;sorteio;medio;;
53;Foto da piscina vista de cima com o máximo de gente dentro;Suba num lugar seguro e enquadre.;sorteio;medio;;
54;Tire uma foto abraçado com o flamingo inflável;Ele é o mascote da festa.;sorteio;facil;;
55;Dê um nome pro flamingo e apresente ele em vídeo;Nome completo, com sobrenome.;sorteio;facil;;
56;Grave alguém tentando subir no flamingo girante — e o resultado;O resultado é sempre bom.;sorteio;medio;;
57;Foto de 3 pessoas dividindo o flamingo ao mesmo tempo;Equilíbrio coletivo.;sorteio;medio;;
58;Tire uma foto da Larissa com o flamingo;Os dois protagonistas juntos.;sorteio;medio;;
59;Grave alguém girando no flamingo por 5 segundos sem cair;Cinco segundos. Cronometrados.;sorteio;dificil;;
60;Grave o tombo mais engraçado da partida;Vai ter concorrência.;sorteio;facil;;
61;Grave a torcida gritando na beira do campo;O jogo é lá, o barulho é aqui.;sorteio;facil;;
62;Narre 20 segundos de jogo como locutor esportivo;Grite o gol mesmo que não tenha gol.;sorteio;medio;;
63;Foto do time inteiro coberto de espuma;Time posado, espuma escorrendo.;sorteio;medio;;
64;Entreviste o craque da partida no fim do jogo;Microfone imaginário, pergunta séria.;sorteio;medio;;
65;Faça um gol e comemore como jogador profissional — grave;Comemoração ensaiada vale mais.;sorteio;dificil;;
66;Fotografe o detalhe da decoração que você achou mais bonito;Um detalhe só. Bem de perto.;sorteio;facil;;
67;Foto da mesa de decoração completa, antes de alguém bagunçar;Registro do estado original.;sorteio;facil;;
68;Tire uma foto sua ao lado do letreiro L30;Clássico obrigatório.;sorteio;facil;;
69;Foto do bolo antes do primeiro corte;Depois disso não volta mais.;sorteio;facil;;
70;Fotografe o doce mais bonito da mesa — e depois de você comer ele;Antes e depois. Duas fotos numa.;sorteio;facil;;
71;Apresente a mesa de decoração em vídeo como se fosse um programa de decoração;Voz de apresentador, gesto de mão.;sorteio;medio;;
72;Tire uma foto no lambe-lambe e fotografe a foto revelada;Foto da foto. Meta.;sorteio;facil;;
73;Fotografe quem está operando o lambe-lambe trabalhando;Quem registra também merece registro.;sorteio;facil;;
74;Faça uma foto no lambe-lambe com alguém que você conheceu hoje;Amizade impressa em papel.;sorteio;medio;;
75;Monte um grupo de 6 pessoas no lambe-lambe;Todo mundo tem que caber.;sorteio;medio;;
76;Tire uma foto no lambe-lambe imitando a pose típica da Larissa;Você sabe qual é.;sorteio;medio;;
77;Fotografe a página que você escreveu no caderninho;Sua letra, eternizada duas vezes.;sorteio;facil;;
78;Fotografe alguém escrevendo no caderninho, concentrado, sem perceber;Momento sincero.;sorteio;facil;;
79;Convença alguém que ainda não escreveu no caderninho a escrever — e grave;Missão de recrutamento.;sorteio;medio;;
80;Grave você lendo em voz alta o que escreveu no caderninho;Coragem de ler o que escreveu.;sorteio;dificil;;
81;Tire uma foto espontânea da Larissa rindo;Rindo de verdade, não de foto.;sorteio;facil;;
82;Faça uma foto 3x4 bem séria ao lado da Larissa;Zero sorriso. Documento oficial.;sorteio;facil;;
83;Faça a pose mais ridícula que você conseguir com a Larissa;Sem limite de vergonha.;sorteio;medio;;
84;Foto de vocês dois imitando a expressão um do outro;Espelho humano.;sorteio;medio;;
85;Grave um vídeo de 20 segundos falando o que a Larissa significa pra você;Pode embargar a voz.;sorteio;medio;;
86;Grave a Larissa recebendo um abraço surpresa por trás;A reação é o registro.;sorteio;medio;;
87;Fotografe a Larissa com a família;Junte todo mundo antes que dispersem.;sorteio;medio;;
88;Grave a Larissa dançando sem saber que está sendo filmada;Modo documentarista.;sorteio;medio;;
89;Grave o momento exato em que a Larissa sopra a vela;Não pisca. Não perde.;sorteio;medio;;
90;Foto de vocês dois com o flamingo;Trio completo.;sorteio;medio;;
91;Grave uma pergunta para a Larissa responder só daqui a 10 anos;Cápsula do tempo em forma de pergunta.;sorteio;dificil;;
92;Peça pra Larissa contar em 15 segundos a melhor lembrança que tem com você;Grave a resposta inteira.;sorteio;dificil;;
93;Tire uma foto com alguém que você nunca viu antes na vida;Hoje vocês se conheceram.;sorteio;facil;;
94;Fotografe o grupo mais barulhento da festa;Você já sabe qual é.;sorteio;facil;;
95;Reúna todo mundo que está com a mesma cor de roupa e faça uma foto;Time por cor.;sorteio;medio;;
96;Foto com a pessoa mais bem vestida da noite — e diga por quê;Justificativa na legenda.;sorteio;medio;;
97;Foto com quem veio de mais longe para estar aqui;Pergunte por aí até achar.;sorteio;medio;;
98;Foto com quem conhece a Larissa há mais tempo;Investigação necessária.;sorteio;medio;;
99;Reúna 8 pessoas para um pulo sincronizado;Todo mundo no ar ao mesmo tempo.;sorteio;dificil;;
100;Grave 5 pessoas diferentes dizendo uma palavra só sobre a Larissa;Cinco palavras, um vídeo.;sorteio;dificil;;
101;Fotografe a festa do canto mais afastado que você conseguir chegar;A festa inteira num quadro só.;sorteio;facil;;
102;Grave 10 segundos só do som ambiente da festa, sem falar nada;O barulho da noite, puro.;sorteio;facil;;
103;Fotografe os sapatos abandonados pela festa;Sinal de que a coisa pegou.;sorteio;facil;;
104;Fotografe a mesa depois que a festa já detonou tudo;O antes e depois da mesa.;sorteio;facil;;
105;Fotografe o céu agora — o horário exato dessa festa;Registro do momento.;sorteio;facil;;
106;Fotografe quem está nos bastidores fazendo tudo acontecer;Cozinha, apoio, quem serve. Eles nunca aparecem.;sorteio;medio;;
107;Fotografe duas pessoas conversando sério num canto;De longe, sem interromper.;sorteio;medio;;
108;Grave o último que sair da pista de dança;Missão de fim de noite.;sorteio;dificil;;
109;Dance coladinho com alguém na roda de pagode e grave;Pagode pede proximidade.;18+;18+;;
110;Grave alguém contando o perrengue mais vergonhoso da vida;Sem editar depois.;18+;18+;;
111;Faça uma pose de calendário com o flamingo;Mês de dezembro, capricho total.;18+;18+;;
112;Peça um beijo no rosto de 3 pessoas seguidas e grave a sequência;Três em sequência, sem cortes.;18+;18+;;
113;Grave a pior cantada da sua vida, feita com total convicção;Quanto pior, melhor.;18+;18+;;
114;Faça uma pose de propaganda de cerveja na beira da piscina;Olhar ao longe, garrafa na mão.;18+;18+;;
